1, George, UNK, Washington, 1789-1797, Independent, Y2C_ZwIolhU
2, John, UNK, Adams, 1797-1801, Federalist, XR9jLMESh-s
3, Thomas, UNK, Jefferson, 1801-1809, Democratic-Republican, qCi0NZOMh1A
4, James, UNK, Madison, 1809-1817, Democratic-Republican, Dxai1D84zow
5, James, UNK, Monroe, 1817-1825, Democratic-Republican, 82vXOuIQ5Lg
6, John, Quincy, Adams, 1825-1829, Democratic-Republican, xnYuz1FG3f4
7, Andrew, UNK, Jackson, 1829-1837, Democrat, OvUmm9TsFVQ
8, Martin, UNK, Van Buren, 1837-1841, Democrat, Sv_t1wjLmJA
9, William, Henry, Harrison, 1841-1841, Whig, WA__KMzoaWk
10, John, UNK, Tyler, 1841-1845, Whig, 7i1K0um16nY
11, James, Knox, Polk, 1845-1849, Democrat, 9gAO8O1pgyA
12, Zachary, UNK, Taylor, 1849-1850, Whig, 5wmTGqHYF5E
13, Millard, UNK, Fillmore, 1850-1853, Whig, U2IBRjOPv4U
14, Franklin, UNK, Pierce, 1853-1857, Democrat, ZA-AIZ6UrQQ
15, James, UNK, Buchanan, 1857-1861, Democrat, AuiyTfzuq_U
16, Abraham, UNK, Lincoln, 1861-1865, Republican, xC0txDA_rQY
17, Andrew, UNK, Johnson, 1865-1869, Democrat, xbZ0G89iUaA
18, Ulysses, Simpson, Grant, 1869-1877, Republican, 4-0PwELhED8
19, Rutherford, Birchard, Hayes, 1877-1881, Republican, dN1mGLkuq2w
20, James, Abram, Garfield, 1881-1881, Republican, 03E-RO81lrc
21, Chester, Alan, Arthur, 1881-1885, Republican, 3h6yu0ML6J0
22, Grover, UNK, Cleveland, 1885-1889, Democrat, Eh6kED3Pboc
23, Benjamin, UNK, Harrison, 1889-1893, Republican, J7ByFckP7Iw
24, Grover, UNK, Cleveland, 1893-1897, Democrat, Eh6kED3Pboc
25, William, UNK, McKinley, 1897-1901, Republican, KRZEX3cDafA
26, Theodore, UNK, Roosevelt, 1901-1909, Republican, _hZiDdZGf5I
27, William, Howard, Taft, 1909-1913, Republican, h9vDQTpJ7Nc
28, Woodrow, , Wilson, 1913-1921, Democrat, TTb3Z6tmwfc
29, Warren, Gamaliel, Harding, 1921-1923, Republican, Hq-Q88M5XbI
30, Calvin, UNK, Coolidge, 1923-1929, Republican, 8SRecDQC7JI
31, Herbert, Clark, Hoover, 1929-1933, Republican, NkIMv32ymCM
32, Franklin, Delano, Roosevelt, 1933-1945, Democrat, YZux2wRLGGY
33, Harry, S, Truman, 1945-1953, Democrat, F4UozINHy88
34, Dwight, David, Eisenhower, 1953-1961, Republican, 6Wu05Wn8ZVA
35, John, Fitzgerald, Kennedy, 1961-1963, Democrat, eh0_4WVEqHg
36, Lyndon, Baines, Johnson, 1963-1969, Democrat, OETfv2EBMn0
37, Richard, Milhous, Nixon, 1969-1974, Republican, L6PGm3uCFF4
38, Gerald, Rudolph, Ford, 1974-1977, Republican, BzRDhPqdIJQ
39, James, Earl, Carter, 1977-1981, Democrat, B_9HQungPSA
40, Ronald, Wilson, Reagan, 1981-1989, Republican, uRmxiioikg4
41, George, H-W, Bush, 1989-1993, Republican, YkGw9dCd-xY
42, William, Jefferson, Clinton, 1993-2001, Democrat, kHevLQOUlx4
43, George, Walker, Bush, 2001-2009, Republican, LVxSuY9Aym0
44, Barack, Hussein, Obama, 2009-2016, Democrat, N0JrEphvjlQ
